City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Decription,Date
Presidencia Roque Saenz Pena,-26.7852,-60.4388,68.13,34,3,5.5,AR,clear sky,2022-08-10 17:39:54
Codrington,-38.2667,141.9667,47.7,91,100,18.12,AU,overcast clouds,2022-08-10 17:40:54
Sao Filipe,14.8961,-24.4956,78.96,87,74,7.45,CV,broken clouds,2022-08-10 17:40:54
Opuwo,-18.0607,13.84,73.18,16,0,6.51,NA,clear sky,2022-08-10 17:40:54
Rangapara,26.8167,92.65,78.71,91,5,3.27,IN,clear sky,2022-08-10 17:40:55
Avarua,-21.2078,-159.775,69.85,83,20,3.44,CK,few clouds,2022-08-10 17:32:58
Khatanga,71.9667,102.5,45.3,68,97,13.94,RU,overcast clouds,2022-08-10 17:38:03
Longyearbyen,78.2186,15.6401,48.04,87,75,3.44,SJ,broken clouds,2022-08-10 17:40:56
Nome,64.5011,-165.4064,48.27,87,100,10.36,US,overcast clouds,2022-08-10 17:40:56
Vila Franca Do Campo,37.7167,-25.4333,75.61,67,39,7.07,PT,scattered clouds,2022-08-10 17:40:56
Port-Cartier,50.0334,-66.8654,65.75,61,1,9.57,CA,clear sky,2022-08-10 17:40:57
Punta Arenas,-53.15,-70.9167,46.51,71,0,10.36,CL,clear sky,2022-08-10 17:36:36
Eyl,7.9803,49.8164,77.63,78,99,27.49,SO,overcast clouds,2022-08-10 17:40:57
Mocuba,-16.8392,36.9856,68.0,74,0,5.7,MZ,clear sky,2022-08-10 17:40:58
Port Macquarie,-31.4333,152.9167,45.9,88,63,4.9,AU,broken clouds,2022-08-10 17:40:58
Kangaba,11.9333,-8.4167,78.71,87,88,4.41,ML,moderate rain,2022-08-10 17:40:58
Luang Prabang,19.8856,102.1347,73.98,95,99,1.3,LA,overcast clouds,2022-08-10 17:40:59
Narsaq,60.9167,-46.05,53.82,55,97,5.61,GL,overcast clouds,2022-08-10 17:38:09
Chuy,-33.6971,-53.4616,55.63,62,1,8.14,UY,clear sky,2022-08-10 17:40:59
Bengkulu,-3.8004,102.2655,75.38,91,42,4.16,ID,scattered clouds,2022-08-10 17:41:00
Lichinga,-13.3128,35.2406,62.69,55,0,8.05,MZ,clear sky,2022-08-10 17:33:00
Chokurdakh,70.6333,147.9167,52.41,69,0,8.79,RU,clear sky,2022-08-10 17:33:10
Galbshtadt,53.2264,78.9845,66.29,68,100,4.76,RU,overcast clouds,2022-08-10 17:41:00
Thompson,55.7435,-97.8558,70.97,33,0,5.03,CA,clear sky,2022-08-10 17:41:00
Pahrump,36.2083,-115.9839,92.95,32,70,4.0,US,broken clouds,2022-08-10 17:41:01
Torbay,47.6666,-52.7314,60.28,84,100,15.01,CA,overcast clouds,2022-08-10 17:41:01
Airai,-8.9266,125.4092,57.65,54,32,1.57,TL,scattered clouds,2022-08-10 17:41:01
Butaritari,3.0707,172.7902,81.57,77,94,17.63,KI,light rain,2022-08-10 17:41:02
Mataura,-46.1927,168.8643,35.46,94,98,1.9,NZ,overcast clouds,2022-08-10 17:33:10
Flinders,-34.5833,150.8552,53.38,84,100,1.99,AU,overcast clouds,2022-08-10 17:38:27
Vardo,70.3705,31.1107,58.98,88,100,10.36,NO,overcast clouds,2022-08-10 17:41:03
Road Town,18.4167,-64.6167,89.69,66,20,12.66,VG,few clouds,2022-08-10 17:41:03
Camacha,33.0833,-16.3333,72.82,64,20,16.11,PT,few clouds,2022-08-10 17:41:04
Hirara,24.8,125.2833,84.54,72,1,9.06,JP,clear sky,2022-08-10 17:39:17
Yellowknife,62.456,-114.3525,59.56,82,100,13.0,CA,overcast clouds,2022-08-10 17:41:05
Providencia,28.7167,-111.5833,87.42,72,98,5.91,MX,overcast clouds,2022-08-10 17:39:03
Kruisfontein,-34.0033,24.7314,54.75,90,100,4.72,ZA,overcast clouds,2022-08-10 17:41:05
Alenquer,-1.9417,-54.7383,97.61,27,36,6.13,BR,scattered clouds,2022-08-10 17:41:06
Arraial Do Cabo,-22.9661,-42.0278,71.56,94,100,5.75,BR,moderate rain,2022-08-10 17:32:59
Tuktoyaktuk,69.4541,-133.0374,44.37,86,100,25.64,CA,light rain,2022-08-10 17:33:06
Teya,60.3778,92.6267,56.48,97,50,2.64,RU,scattered clouds,2022-08-10 17:41:06
Caravelas,-17.7125,-39.2481,78.06,61,6,14.18,BR,clear sky,2022-08-10 17:41:07
Geraldton,-28.7667,114.6,45.01,93,9,6.91,AU,clear sky,2022-08-10 17:41:07
Port Elizabeth,-33.918,25.5701,58.32,90,0,9.22,ZA,clear sky,2022-08-10 17:41:08
Barrow,71.2906,-156.7887,44.62,93,100,13.8,US,light rain,2022-08-10 17:30:04
Tura,25.5198,90.2201,75.2,87,51,7.0,IN,broken clouds,2022-08-10 17:36:49
Georgetown,5.4112,100.3354,82.89,83,20,1.14,MY,few clouds,2022-08-10 17:28:51
East London,-33.0153,27.9116,54.54,94,0,5.75,ZA,clear sky,2022-08-10 17:32:13
Katsuura,35.1333,140.3,80.42,90,99,12.88,JP,overcast clouds,2022-08-10 17:42:08
Ushuaia,-54.8,-68.3,44.26,70,0,3.44,AR,clear sky,2022-08-10 17:28:20
Kumluca,36.3703,30.2869,82.47,70,4,5.57,TR,clear sky,2022-08-10 17:42:09
Rawson,-43.3002,-65.1023,56.3,40,100,5.99,AR,overcast clouds,2022-08-10 17:42:09
Mabama,-5.1333,32.5333,77.49,30,32,4.14,TZ,scattered clouds,2022-08-10 17:42:09
Doka,13.5167,35.7667,71.15,93,98,6.06,SD,overcast clouds,2022-08-10 17:42:10
Quatre Cocos,-20.2078,57.7625,69.91,70,72,22.53,MU,broken clouds,2022-08-10 17:42:10
Lebu,-37.6167,-73.65,52.45,67,57,5.23,CL,broken clouds,2022-08-10 17:42:11
Saint-Joseph,-21.3667,55.6167,64.78,74,34,16.98,RE,scattered clouds,2022-08-10 17:42:11
Cidreira,-30.1811,-50.2056,61.83,65,95,10.83,BR,overcast clouds,2022-08-10 17:42:11
Talaya,61.3833,152.75,55.27,81,100,3.89,RU,overcast clouds,2022-08-10 17:42:12
Hokitika,-42.7167,170.9667,37.9,68,0,7.49,NZ,clear sky,2022-08-10 17:42:01
Barbosa,5.9317,-73.6151,75.96,57,98,2.13,CO,overcast clouds,2022-08-10 17:42:12
Broome,42.2506,-75.833,78.01,61,100,6.91,US,overcast clouds,2022-08-10 17:42:13
Suntar,62.1444,117.6319,55.9,86,93,4.76,RU,overcast clouds,2022-08-10 17:42:13
Los Llanos De Aridane,28.6585,-17.9182,73.13,81,75,11.5,ES,broken clouds,2022-08-10 17:42:14
Henties Bay,-22.116,14.2845,54.23,90,20,5.95,NA,few clouds,2022-08-10 17:42:14
Moussoro,13.6408,16.4901,91.02,46,75,11.86,TD,broken clouds,2022-08-10 17:42:15
Akyab,20.15,92.9,78.22,89,100,7.05,MM,moderate rain,2022-08-10 17:42:15
Ilulissat,69.2167,-51.1,42.82,93,100,6.91,GL,light intensity drizzle,2022-08-10 17:42:16
Kijang,35.2442,129.2139,80.33,91,100,9.66,KR,overcast clouds,2022-08-10 17:42:16
Svetlaya,46.5389,138.3297,64.71,68,18,5.3,RU,moderate rain,2022-08-10 17:42:17
Mahebourg,-20.4081,57.7,70.09,56,40,17.27,MU,scattered clouds,2022-08-10 17:42:17
Uthal,25.8072,66.6219,82.98,83,100,2.93,PK,overcast clouds,2022-08-10 17:42:18
Constitucion,-35.3333,-72.4167,56.77,60,0,10.29,CL,clear sky,2022-08-10 17:42:18
Roald,62.5833,6.1333,68.76,63,75,23.02,NO,light rain,2022-08-10 17:42:18
Meulaboh,4.1363,96.1285,76.98,87,24,3.87,ID,few clouds,2022-08-10 17:42:19
Necochea,-38.5473,-58.7368,54.99,57,89,15.99,AR,overcast clouds,2022-08-10 17:42:19
Acapulco,16.8634,-99.8901,80.42,83,100,4.61,MX,overcast clouds,2022-08-10 17:37:45
Dikson,73.5069,80.5464,41.94,96,100,10.11,RU,overcast clouds,2022-08-10 17:42:19
Coihaique,-45.5752,-72.0662,48.81,76,100,3.44,CL,overcast clouds,2022-08-10 17:38:10
Leningradskiy,69.3833,178.4167,41.94,91,82,4.36,RU,broken clouds,2022-08-10 17:42:20
Erzin,36.9559,36.2,77.45,83,86,6.38,TR,overcast clouds,2022-08-10 17:42:20
Gushikawa,26.3544,127.8686,83.43,91,0,4.61,JP,haze,2022-08-10 17:42:21
Pietersburg,-23.9045,29.4688,65.25,39,0,1.14,ZA,clear sky,2022-08-10 17:42:21
Mahibadhoo,3.7833,72.9667,81.39,81,50,7.61,MV,scattered clouds,2022-08-10 17:42:21
Souillac,-20.5167,57.5167,70.18,56,40,17.27,MU,scattered clouds,2022-08-10 17:42:22
Lompoc,34.6391,-120.4579,77.85,77,20,5.75,US,few clouds,2022-08-10 17:42:22
Waterloo,43.4668,-80.5164,81.64,65,10,5.01,CA,clear sky,2022-08-10 17:42:22
Bambous Virieux,-20.3428,57.7575,70.05,56,40,17.27,MU,scattered clouds,2022-08-10 17:42:23
Novoagansk,61.9449,76.6625,59.22,64,82,5.75,RU,broken clouds,2022-08-10 17:42:23
Cururupu,-1.8283,-44.8683,85.77,60,26,7.85,BR,scattered clouds,2022-08-10 17:42:24
Mazurivka,49.2745,24.2123,64.45,58,95,4.56,UA,overcast clouds,2022-08-10 17:42:24
Ponta Do Sol,32.6667,-17.1,76.12,71,32,6.31,PT,scattered clouds,2022-08-10 17:33:09
Oussouye,12.485,-16.5469,83.84,74,79,10.49,SN,broken clouds,2022-08-10 17:42:25
Nabire,-3.3667,135.4833,74.57,90,65,3.09,ID,broken clouds,2022-08-10 17:43:25
Saskylakh,71.9167,114.0833,51.04,69,84,10.4,RU,broken clouds,2022-08-10 17:43:25
Lorengau,-2.0226,147.2712,80.31,80,100,7.07,PG,overcast clouds,2022-08-10 17:43:26
Rafai,4.95,23.9167,71.69,94,98,4.05,CF,light rain,2022-08-10 17:43:26
Ugoofaaru,5.6667,73.0,81.55,82,61,12.86,MV,broken clouds,2022-08-10 17:43:26
Mar Del Plata,-38.0023,-57.5575,57.94,57,75,16.11,AR,broken clouds,2022-08-10 17:38:41
Laguna,38.421,-121.4238,79.43,58,0,8.05,US,clear sky,2022-08-10 17:43:27
Hailar,49.2,119.7,57.15,74,99,5.75,CN,overcast clouds,2022-08-10 17:43:27
Batagay,67.6333,134.6333,54.18,75,0,1.61,RU,clear sky,2022-08-10 17:43:27
Ancud,-41.8697,-73.8203,51.22,86,100,12.55,CL,overcast clouds,2022-08-10 17:43:28
Santa Rosa,14.3122,121.1114,82.38,88,100,2.46,PH,light rain,2022-08-10 17:41:19
Bilibino,68.0546,166.4372,57.81,94,11,1.25,RU,few clouds,2022-08-10 17:43:28
Semme,46.1963,1.5007,88.21,22,0,5.91,FR,clear sky,2022-08-10 17:43:29
Ericeira,38.9627,-9.4156,76.19,71,0,10.83,PT,clear sky,2022-08-10 17:43:29
Isangel,-19.55,169.2667,68.13,62,17,15.75,VU,few clouds,2022-08-10 17:43:29
Motala,58.5371,15.0365,76.32,64,43,9.42,SE,scattered clouds,2022-08-10 17:43:30
Upington,-28.4478,21.2561,68.38,21,0,3.44,ZA,clear sky,2022-08-10 17:43:31
Kandrian,-6.2167,149.55,76.01,93,94,8.37,PG,light rain,2022-08-10 17:43:32
Oksovskiy,62.6062,39.8984,58.39,68,88,3.33,RU,overcast clouds,2022-08-10 17:43:32
Murgab,37.4966,61.9714,80.47,34,0,6.91,TM,clear sky,2022-08-10 17:43:32
Byron Bay,-28.65,153.6167,50.94,75,86,7.05,AU,overcast clouds,2022-08-10 17:41:32
Esperance,-33.8667,121.9,57.07,69,97,22.95,AU,overcast clouds,2022-08-10 17:43:33
Piacabucu,-10.4056,-36.4344,79.3,67,43,5.39,BR,scattered clouds,2022-08-10 17:43:33
Korgen,66.0771,13.8153,60.93,98,100,9.6,NO,moderate rain,2022-08-10 17:43:34
Arica,-18.475,-70.3042,63.95,72,100,8.05,CL,overcast clouds,2022-08-10 17:43:34
Tiksi,71.6872,128.8694,48.54,94,97,5.57,RU,overcast clouds,2022-08-10 17:43:34
Hami,42.8,93.45,93.69,13,8,21.21,CN,clear sky,2022-08-10 17:43:34
Shenxian,36.2411,115.6672,71.6,95,92,0.6,CN,overcast clouds,2022-08-10 17:43:35
Petropavlovsk-Kamchatskiy,53.0452,158.6483,52.39,100,75,0.0,RU,broken clouds,2022-08-10 17:43:19
Alibag,18.6411,72.8792,78.87,87,100,23.6,IN,light rain,2022-08-10 17:43:35
Iqaluit,63.7506,-68.5145,54.7,66,3,10.0,CA,clear sky,2022-08-10 17:43:36
Cabra,37.4725,-4.4421,93.65,32,0,4.0,ES,clear sky,2022-08-10 17:43:36
Havelock,34.8791,-76.9013,94.05,68,20,9.22,US,few clouds,2022-08-10 17:43:36
Soni,-4.85,38.3667,58.73,89,77,2.64,TZ,broken clouds,2022-08-10 17:43:37
Linqiong,30.4159,103.4609,85.82,84,98,3.98,CN,overcast clouds,2022-08-10 17:43:37
Pacific Grove,36.6177,-121.9166,75.2,70,0,10.0,US,clear sky,2022-08-10 17:40:22
Severo-Kurilsk,50.6789,156.125,54.23,95,88,10.45,RU,overcast clouds,2022-08-10 17:43:38
Lake Charles,30.2131,-93.2044,89.58,64,75,4.61,US,broken clouds,2022-08-10 17:43:38
Altay,47.8667,88.1167,70.93,45,100,2.73,CN,overcast clouds,2022-08-10 17:43:38
Sobolevo,54.4299,31.8996,60.66,77,41,8.12,RU,scattered clouds,2022-08-10 17:43:38
Dekar,-21.5333,21.9333,65.5,14,0,7.58,BW,clear sky,2022-08-10 17:43:39
Luba,3.4568,8.5547,78.69,89,73,8.79,GQ,light rain,2022-08-10 17:43:39
Tasiilaq,65.6145,-37.6368,42.96,76,36,2.57,GL,scattered clouds,2022-08-10 17:43:40
Bonthe,7.5264,-12.505,77.4,87,94,10.07,SL,moderate rain,2022-08-10 17:43:40
Marsa Matruh,31.3525,27.2453,82.6,65,20,11.5,EG,few clouds,2022-08-10 17:44:40
Olafsvik,64.8945,-23.7142,48.69,78,82,8.46,IS,broken clouds,2022-08-10 17:44:41
Meridian,43.6121,-116.3915,78.58,70,40,0.0,US,haze,2022-08-10 17:44:41
Saint-Philippe,-21.3585,55.7679,65.79,77,65,16.98,RE,broken clouds,2022-08-10 17:40:47
Pevek,69.7008,170.3133,36.28,97,78,5.06,RU,broken clouds,2022-08-10 17:44:41
El Campo,29.1966,-96.2697,96.84,43,75,5.75,US,broken clouds,2022-08-10 17:44:42
Pasarkemis,-6.1703,106.5303,80.47,94,20,6.91,ID,few clouds,2022-08-10 17:44:42
Van Buren,35.4368,-94.3483,93.15,48,0,5.01,US,clear sky,2022-08-10 17:44:42
Saint George,37.1041,-113.5841,91.26,42,0,5.75,US,clear sky,2022-08-10 17:44:18
Sept-Iles,50.2001,-66.3821,66.06,71,0,3.0,CA,clear sky,2022-08-10 17:41:05
Belmonte,-15.8631,-38.8828,77.81,59,1,13.09,BR,clear sky,2022-08-10 17:44:43
Namie,37.4833,141.0,81.72,86,100,7.0,JP,overcast clouds,2022-08-10 17:44:43
Castro,-24.7911,-50.0119,45.75,92,96,14.25,BR,overcast clouds,2022-08-10 17:44:44
Ahipara,-35.1667,173.1667,48.85,87,90,7.85,NZ,overcast clouds,2022-08-10 17:44:44
Jamestown,42.097,-79.2353,78.03,50,75,3.44,US,broken clouds,2022-08-10 17:41:34
Srednekolymsk,67.45,153.6833,57.85,80,6,4.88,RU,clear sky,2022-08-10 17:44:45
Sabang,5.8933,95.3214,82.31,75,91,16.13,ID,overcast clouds,2022-08-10 17:44:45
Cherskiy,68.75,161.3,52.43,80,0,3.0,RU,clear sky,2022-08-10 17:44:46
Mayo,38.8876,-76.5119,93.34,68,20,5.75,US,few clouds,2022-08-10 17:44:46
Hurricane,37.1753,-113.2899,89.33,38,80,4.83,US,broken clouds,2022-08-10 17:44:46
Noumea,-22.2763,166.4572,69.01,99,47,8.43,NC,scattered clouds,2022-08-10 17:44:47
Paratinga,-12.6906,-43.1842,95.25,15,1,2.17,BR,clear sky,2022-08-10 17:44:47
Nautla,20.2167,-96.7833,88.93,53,52,7.07,MX,broken clouds,2022-08-10 17:44:47
Banda Aceh,5.5577,95.3222,79.11,82,71,11.1,ID,broken clouds,2022-08-10 17:44:48
Sur,22.5667,59.5289,86.94,62,100,15.77,OM,overcast clouds,2022-08-10 17:44:48
Hilo,19.7297,-155.09,86.29,91,100,1.01,US,overcast clouds,2022-08-10 17:44:48
Ewo,-0.8725,14.8206,84.83,43,82,3.06,CG,broken clouds,2022-08-10 17:44:49
Novo Aripuana,-5.1206,-60.3797,94.91,36,31,5.17,BR,scattered clouds,2022-08-10 17:44:49
Nantucket,41.2835,-70.0995,78.91,83,100,12.66,US,overcast clouds,2022-08-10 17:41:37
Sehithwa,-20.4667,22.7167,67.19,9,0,7.02,BW,clear sky,2022-08-10 17:44:49
Tomatlan,19.9333,-105.25,89.83,57,90,5.68,MX,overcast clouds,2022-08-10 17:44:50
Gainesville,29.6516,-82.3248,92.93,59,40,9.22,US,scattered clouds,2022-08-10 17:42:50
Flin Flon,54.7682,-101.865,69.71,35,7,3.4,CA,clear sky,2022-08-10 17:44:50
Morant Bay,17.8815,-76.4093,90.72,68,16,12.37,JM,few clouds,2022-08-10 17:44:50
Nevsehir,38.9167,34.6667,81.61,30,0,9.22,TR,clear sky,2022-08-10 17:44:51
Zhezkazgan,47.8043,67.7144,67.48,59,77,10.69,KZ,broken clouds,2022-08-10 17:44:51
Brae,60.3964,-1.353,57.51,94,95,19.3,GB,overcast clouds,2022-08-10 17:44:51
Raudeberg,61.9875,5.1352,63.95,78,100,34.61,NO,overcast clouds,2022-08-10 17:44:52
Borogontsy,62.6683,131.1683,56.03,98,95,7.38,RU,overcast clouds,2022-08-10 17:44:52
Upernavik,72.7868,-56.1549,40.55,84,97,6.69,GL,overcast clouds,2022-08-10 17:44:53
Qaanaaq,77.484,-69.3632,38.17,63,7,3.22,GL,clear sky,2022-08-10 17:44:53
Portland,45.5234,-122.6762,69.28,76,100,9.22,US,overcast clouds,2022-08-10 17:42:00
Arlit,18.7369,7.3853,102.81,18,9,3.31,NE,clear sky,2022-08-10 17:44:53
Keflavik,64.0049,-22.5624,50.43,87,75,12.66,IS,broken clouds,2022-08-10 17:44:54
Senges,-24.1128,-49.4636,53.31,78,79,13.76,BR,light rain,2022-08-10 17:44:54
Imbituba,-28.24,-48.6703,59.86,99,100,17.0,BR,light rain,2022-08-10 17:44:55
Cayenne,4.9333,-52.3333,87.1,20,94,1.99,GF,overcast clouds,2022-08-10 17:45:55
Grindavik,63.8424,-22.4338,50.47,87,75,12.66,IS,broken clouds,2022-08-10 17:45:55
Aksu,41.1231,80.2644,76.24,42,51,8.88,CN,broken clouds,2022-08-10 17:45:56
Tripoli,32.8752,13.1875,83.03,64,0,6.62,LY,clear sky,2022-08-10 17:42:10
Vandalur,12.8928,80.0808,87.58,74,20,5.75,IN,few clouds,2022-08-10 17:45:56
Agadir,30.4202,-9.5982,77.45,59,7,4.79,MA,clear sky,2022-08-10 17:42:53
Mulanur,10.7667,77.7167,79.2,60,89,22.7,IN,overcast clouds,2022-08-10 17:45:56
Palmer,42.1584,-72.3287,85.24,54,75,4.61,US,broken clouds,2022-08-10 17:44:56
Katherine,-14.4667,132.2667,75.52,53,9,8.05,AU,clear sky,2022-08-10 17:45:57
Niihama,33.9593,133.3167,80.2,81,99,4.68,JP,overcast clouds,2022-08-10 17:45:57
Mattru,7.6244,-11.8332,76.28,93,94,4.76,SL,moderate rain,2022-08-10 17:45:58
San Juan Bautista,-14.0108,-75.7358,78.96,33,5,6.24,PE,clear sky,2022-08-10 17:45:11
Mount Abu,24.6,72.7,72.0,78,97,4.27,IN,overcast clouds,2022-08-10 17:45:58
Ipoti,7.8738,5.0769,71.76,89,95,4.41,NG,light rain,2022-08-10 17:45:59
Yabrud,33.9674,36.6574,72.88,34,0,1.95,SY,clear sky,2022-08-10 17:45:59
Mahanoro,-19.9,48.8,66.51,79,100,6.49,MG,overcast clouds,2022-08-10 17:45:59
Jeremie,18.65,-74.1167,85.66,66,18,7.74,HT,few clouds,2022-08-10 17:46:00
Castanhal,-1.2939,-47.9264,92.44,42,74,5.97,BR,broken clouds,2022-08-10 17:46:00
Bilma,18.6853,12.9164,102.67,14,54,9.08,NE,broken clouds,2022-08-10 17:46:01
Tromso,69.6496,18.957,56.37,88,75,19.57,NO,broken clouds,2022-08-10 17:46:01
Amapa,1.0,-52.0,87.08,53,83,2.26,BR,broken clouds,2022-08-10 17:46:02
Cruzilia,-21.8386,-44.8083,53.08,89,100,11.83,BR,overcast clouds,2022-08-10 17:46:02
Taoudenni,22.6783,-3.9836,111.9,10,38,14.47,ML,scattered clouds,2022-08-10 17:46:02
Caxito,-8.5785,13.6643,70.23,79,5,7.76,AO,clear sky,2022-08-10 17:46:03
Teruel,40.6667,-0.6667,78.28,31,49,17.43,ES,scattered clouds,2022-08-10 17:46:03
Dicabisagan,17.0818,122.4157,78.42,88,100,3.15,PH,overcast clouds,2022-08-10 17:46:04
Ixtapa,20.7,-105.2,86.23,71,98,4.0,MX,overcast clouds,2022-08-10 17:46:04
